vtcvertcoin,4.25,Wed Nov 22 13:51:55 2017,4.25,Wed Nov 22 13:52:26 2017,4.08,Thu Nov 23 10:37:41 2017,4.08,Thu Nov 23 10:37:41 2017
omgomisego,7.71,Wed Nov 22 13:51:55 2017,7.71,Wed Nov 22 13:52:26 2017,7.78,Thu Nov 23 10:37:41 2017,7.78,Thu Nov 23 10:37:41 2017
xrpripple,0.234776,Wed Nov 22 13:51:55 2017,0.234776,Wed Nov 22 13:52:26 2017,0.239069,Thu Nov 23 10:37:41 2017,0.239069,Thu Nov 23 10:37:41 2017
neoneo,36.56,Wed Nov 22 13:51:55 2017,36.56,Wed Nov 22 13:52:26 2017,34.90,Thu Nov 23 10:37:41 2017,34.90,Thu Nov 23 10:37:41 2017
arkark,3.07,Wed Nov 22 13:51:55 2017,3.07,Wed Nov 22 13:52:26 2017,2.99,Thu Nov 23 10:37:41 2017,2.99,Thu Nov 23 10:37:41 2017
xlmstellar lumens,0.038862,Wed Nov 22 13:51:55 2017,0.038862,Wed Nov 22 13:52:26 2017,0.040891,Thu Nov 23 10:37:41 2017,0.040891,Thu Nov 23 10:37:41 2017
